# B1 - Intermediate Level Words (CEFR B1)
# Format: english|category|partOfSpeech
# Intermediate vocabulary for confident everyday communication
# Abstract Concepts & General
boyfriend|General|noun
careful|General|noun
dollar|General|noun
receiving|General|noun
saving|General|noun
appointed|General|noun
armed|General|noun
aside|General|noun
assistance|General|noun
bond|General|noun
controlled|General|noun
corporation|General|noun
cry|General|noun
delivery|General|noun
empty|General|noun
gender|General|noun
kinda|General|noun
motion|General|noun
nick|General|noun
pacific|General|noun
wednesday|General|noun
admit|General|noun
drawing|General|noun
guest|General|noun
kiss|General|noun
load|General|noun
rent|General|noun
sentence|General|noun
brazil|General|noun
plot|General|noun
recovery|General|noun
represent|General|noun
senator|General|noun
dedicated|General|noun
frame|General|noun
ha|General|noun
heaven|General|noun
teeth|General|noun
understood|General|noun
academy|General|noun
achieve|General|noun
adam|General|noun
cheese|General|noun
item|General|noun
mess|General|noun
parent|General|noun
personally|General|noun
pleasure|General|noun
prefer|General|noun
programme|General|noun
tight|General|noun
weekly|General|noun
yard|General|noun
bottle|General|noun
bunch|General|noun
chat|General|noun
diet|General|noun
scheme|General|noun
stood|General|noun
storage|General|noun
andrew|General|noun
bbc|General|noun
competitive|General|noun
em|General|noun
favourite|General|noun
fruit|General|noun
index|General|noun
lane|General|noun
navy|General|noun
tank|General|noun
tend|General|noun
transportation|General|noun
unlike|General|noun
hopefully|General|noun
object|General|noun
pregnant|General|noun
suppose|General|noun
tournament|General|noun
turkey|General|noun
basketball|General|noun
button|General|noun
employment|General|noun
performing|General|noun
personnel|General|noun
premier|General|noun
anybody|General|noun
combat|General|noun
constitution|General|noun
counter|General|noun
crown|General|noun
crying|General|noun
depression|General|noun
el|General|noun
excuse|General|noun
expert|General|noun
frequently|General|noun
golf|General|noun
grace|General|noun
laid|General|noun
manufacturing|General|noun
mining|General|noun
tool|General|noun
victim|General|noun
concert|General|noun
mate|General|noun
noise|General|noun
plate|General|noun
rice|General|noun
roof|General|noun
shame|General|noun
tip|General|noun
personality|General|noun
prepare|General|noun
relief|General|noun
resistance|General|noun
retail|General|noun
somewhat|General|noun
amazon|General|noun
arrest|General|noun
attend|General|noun
carbon|General|noun
catholic|General|noun
chose|General|noun
circle|General|noun
crash|General|noun
declared|General|noun
depth|General|noun
deputy|General|noun
dirty|General|noun
factory|General|noun
headed|General|noun
interior|General|noun
joy|General|noun
maintenance|General|noun
panel|General|noun
surely|General|noun
bathroom|General|noun
hide|General|noun
print|General|noun
quit|General|noun
sight|General|noun
sing|General|noun
wet|General|noun
baseball|General|noun
calm|General|noun
championship|General|noun
reporting|General|noun
significantly|General|noun
soviet|General|noun
bible|General|noun
cable|General|noun
checked|General|noun
client|General|noun
driven|General|noun
dumb|General|noun
empire|General|noun
exciting|General|noun
heavily|General|noun
irish|General|noun
linked|General|noun
weapon|General|noun
widely|General|noun
worldwide|General|noun
bike|General|noun
cake|General|noun
hardly|General|noun
hat|General|noun
height|General|noun
hidden|General|noun
loud|General|noun
manchester|General|noun
peak|General|noun
princess|General|noun
raw|General|noun
secondary|General|noun
somehow|General|noun
unknown|General|noun
contest|General|noun
portion|General|noun
protein|General|noun
retirement|General|noun
sample|General|noun
suffering|General|noun
anniversary|General|noun
attractive|General|noun
broad|General|noun
burn|General|noun
closely|General|noun
constantly|General|noun
hong|General|noun
marine|General|noun
motor|General|noun
officially|General|noun
pc|General|noun
blind|General|noun
breath|General|noun
chest|General|noun
introduction|General|noun
paint|General|noun
pilot|General|noun
pink|General|noun
singer|General|noun
smoking|General|noun
tall|General|noun
presidential|General|noun
recognized|General|noun
registered|General|noun
regularly|General|noun
rising|General|noun
shipping|General|noun
steam|General|noun
attached|General|noun
automatically|General|noun
battery|General|noun
brief|General|noun
decade|General|noun
destroy|General|noun
edward|General|noun
engaged|General|noun
fantasy|General|noun
grab|General|noun
hollywood|General|noun
joseph|General|noun
license|General|noun
survive|General|noun
theatre|General|noun
therapy|General|noun
adopted|General|noun
comedy|General|noun
musical|General|noun
nose|General|noun
plastic|General|noun
recording|General|noun
tie|General|noun
valuable|General|noun
cap|General|noun
protected|General|noun
semi|General|noun
campus|General|noun
childhood|General|noun
commander|General|noun
dan|General|noun
defence|General|noun
detailed|General|noun
exposed|General|noun
fed|General|noun
fee|General|noun
injured|General|noun
jordan|General|noun
organized|General|noun
suspect|General|noun
swear|General|noun
wealth|General|noun
aged|General|noun
lift|General|noun
operate|General|noun
permission|General|noun
reply|General|noun
shoulder|General|noun
shower|General|noun
tower|General|noun
wheel|General|noun
bread|General|noun
dancing|General|noun
porn|General|noun
racing|General|noun
recommended|General|noun
rid|General|noun
roman|General|noun
approval|General|noun
burning|General|noun
contain|General|noun
employee|General|noun
en|General|noun
engineer|General|noun
facing|General|noun
fairly|General|noun
ford|General|noun
graduate|General|noun
greek|General|noun
hanging|General|noun
marked|General|noun
miller|General|noun
monthly|General|noun
visual|General|noun
